name,efficiency
mazda rx-7 gs,1.4285714285714286
mazda rx2 coupe,1.3857142857142857
mazda rx-4,1.375
maxda rx3,1.2857142857142858
datsun 1200,0.9583333333333334
saab 99le,0.9504132231404959
saab 99gle,0.9504132231404959
datsun 510 (sw),0.9484536082474226
bmw 2002,0.9338842975206612
volvo 145e (sw),0.9256198347107438
volvo 144ea,0.9256198347107438
fiat 124 sport coupe,0.9183673469387755
toyota corolla 1200,0.9154929577464789
toyota corolla 1200,0.9154929577464789
saab 99e,0.9134615384615384
saab 99le,0.9090909090909091
bmw 320i,0.9090909090909091
toyota corolla 1600 (sw),0.9072164948453608
datsun pl510,0.9072164948453608
datsun pl510,0.9072164948453608
toyota carina,0.9072164948453608
peugeot 304,0.8860759493670886
datsun 610,0.8703703703703703
fiat 124b,0.8636363636363636
subaru,0.8611111111111112
volkswagen dasher,0.8481012658227848
datsun b210,0.8481012658227848
fiat x1.9,0.8481012658227848
audi fox,0.8469387755102041
dodge colt m/m,0.8469387755102041
audi 100 ls,0.8411214953271028
toyota corona mark ii,0.8407079646017699
toyota corona,0.8407079646017699
toyota corona hardtop,0.8407079646017699
datsun 200sx,0.8403361344537815
dodge colt,0.8333333333333334
fiat 128,0.8333333333333334
audi 100ls,0.8260869565217391
datsun b210 gx,0.8235294117647058
datsun b-210,0.8235294117647058
datsun f-10 hatchback,0.8235294117647058
datsun 810 maxima,0.821917808219178
renault 12tl,0.8217821782178217
dodge colt hardtop,0.8205128205128205
dodge colt (sw),0.8163265306122449
dodge colt hatchback custom,0.8163265306122449
peugeot 604sl,0.8159509202453987
datsun 510,0.8151260504201681
datsun 200-sx,0.8151260504201681
datsun 710,0.8151260504201681
volvo 244dl,0.8099173553719008
honda civic,0.8083333333333333
toyouta corona mark ii (sw),0.8083333333333333
dodge colt,0.8061224489795918
volkswagen dasher,0.8041237113402062
volkswagen rabbit custom,0.8041237113402062
opel manta,0.8041237113402062
audi 4000,0.8041237113402062
fiat 131,0.8037383177570093
audi 100ls,0.7982456140350878
volkswagen scirocco,0.797752808988764
vw rabbit custom,0.797752808988764
peugeot 504,0.7909090909090909
volkswagen dasher,0.7888888888888889
plymouth arrow gs,0.7868852459016393
audi 5000,0.7862595419847328
datsun 280-zx,0.7857142857142857
chevrolet cavalier,0.7857142857142857
chevrolet cavalier wagon,0.7857142857142857
chevrolet cavalier 2-door,0.7857142857142857
volvo 245,0.7846153846153846
toyota mark ii,0.782051282051282
volkswagen rabbit,0.7777777777777778
