set,iteration,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
T,2,22.0,4,122.0,86.0,2395,16.0,72,1,ford pinto (sw)
T,2,28.0,4,97.0,92.0,2288,17.0,72,3,datsun 510 (sw)
T,2,23.0,4,120.0,97.0,2506,14.5,72,3,toyouta corona mark ii (sw)
T,2,28.0,4,98.0,80.0,2164,15.0,72,1,dodge colt (sw)
T,2,27.0,4,97.0,88.0,2100,16.5,72,3,toyota corolla 1600 (sw)
T,2,13.0,8,350.0,175.0,4100,13.0,73,1,buick century 350
T,2,14.0,8,304.0,150.0,3672,11.5,73,1,amc matador
T,2,13.0,8,350.0,145.0,3988,13.0,73,1,chevrolet malibu
T,2,14.0,8,302.0,137.0,4042,14.5,73,1,ford gran torino
T,2,15.0,8,318.0,150.0,3777,12.5,73,1,dodge coronet custom
T,2,12.0,8,429.0,198.0,4952,11.5,73,1,mercury marquis brougham
T,2,13.0,8,400.0,150.0,4464,12.0,73,1,chevrolet caprice classic
T,2,13.0,8,351.0,158.0,4363,13.0,73,1,ford ltd
T,2,14.0,8,318.0,150.0,4237,14.5,73,1,plymouth fury gran sedan
T,2,13.0,8,440.0,215.0,4735,11.0,73,1,chrysler new yorker brougham
T,2,12.0,8,455.0,225.0,4951,11.0,73,1,buick electra 225 custom
T,2,13.0,8,360.0,175.0,3821,11.0,73,1,amc ambassador brougham
T,2,18.0,6,225.0,105.0,3121,16.5,73,1,plymouth valiant
T,2,16.0,6,250.0,100.0,3278,18.0,73,1,chevrolet nova custom
T,2,18.0,6,232.0,100.0,2945,16.0,73,1,amc hornet
T,2,18.0,6,250.0,88.0,3021,16.5,73,1,ford maverick
T,2,23.0,6,198.0,95.0,2904,16.0,73,1,plymouth duster
T,2,26.0,4,97.0,46.0,1950,21.0,73,2,volkswagen super beetle
T,2,11.0,8,400.0,150.0,4997,14.0,73,1,chevrolet impala
T,2,12.0,8,400.0,167.0,4906,12.5,73,1,ford country
T,2,13.0,8,360.0,170.0,4654,13.0,73,1,plymouth custom suburb
T,2,12.0,8,350.0,180.0,4499,12.5,73,1,oldsmobile vista cruiser
T,2,18.0,6,232.0,100.0,2789,15.0,73,1,amc gremlin
T,2,20.0,4,97.0,88.0,2279,19.0,73,3,toyota carina
T,2,21.0,4,140.0,72.0,2401,19.5,73,1,chevrolet vega
T,2,22.0,4,108.0,94.0,2379,16.5,73,3,datsun 610
T,2,18.0,3,70.0,90.0,2124,13.5,73,3,maxda rx3
T,2,19.0,4,122.0,85.0,2310,18.5,73,1,ford pinto
T,2,21.0,6,155.0,107.0,2472,14.0,73,1,mercury capri v6
T,2,26.0,4,98.0,90.0,2265,15.5,73,2,fiat 124 sport coupe
T,2,15.0,8,350.0,145.0,4082,13.0,73,1,chevrolet monte carlo s
T,2,16.0,8,400.0,230.0,4278,9.5,73,1,pontiac grand prix
T,2,29.0,4,68.0,49.0,1867,19.5,73,2,fiat 128
T,2,24.0,4,116.0,75.0,2158,15.5,73,2,opel manta
T,2,20.0,4,114.0,91.0,2582,14.0,73,2,audi 100ls
T,2,19.0,4,121.0,112.0,2868,15.5,73,2,volvo 144ea
T,2,15.0,8,318.0,150.0,3399,11.0,73,1,dodge dart custom
